"Food_code","Subcode","Seq_num","Portion_code","Portion_weight","Start_date","End_date"
11512110,0,1,10205,248,2017-01-01,2018-12-31
11512110,0,2,30000,31,2017-01-01,2018-12-31
11512110,0,3,90000,248,2017-01-01,2018-12-31
11512120,0,1,10205,248,2017-01-01,2018-12-31
11512120,0,2,30000,31,2017-01-01,2018-12-31
11512120,0,3,90000,248,2017-01-01,2018-12-31
11513000,0,1,10205,248,2017-01-01,2018-12-31
11513000,0,2,30000,31,2017-01-01,2018-12-31
11513000,0,3,90000,248,2017-01-01,2018-12-31
11513100,0,1,10205,248,2017-01-01,2018-12-31
11513100,0,2,30000,31,2017-01-01,2018-12-31
11513100,0,3,90000,248,2017-01-01,2018-12-31
11513150,0,1,10205,248,2017-01-01,2018-12-31
11513150,0,2,30000,31,2017-01-01,2018-12-31
11513150,0,3,90000,248,2017-01-01,2018-12-31
11513200,0,1,10205,248,2017-01-01,2018-12-31
11513200,0,2,30000,31,2017-01-01,2018-12-31
11513200,0,3,90000,248,2017-01-01,2018-12-31
11513300,0,1,10205,248,2017-01-01,2018-12-31
11513300,0,2,30000,31,2017-01-01,2018-12-31
11513300,0,3,90000,248,2017-01-01,2018-12-31
11513310,0,1,10205,248,2017-01-01,2018-12-31
11513310,0,2,30000,31,2017-01-01,2018-12-31
11513310,0,3,90000,248,2017-01-01,2018-12-31
11513350,0,1,10205,248,2017-01-01,2018-12-31
11513350,0,2,30000,31,2017-01-01,2018-12-31
11513350,0,3,90000,248,2017-01-01,2018-12-31
11513355,0,1,10205,248,2017-01-01,2018-12-31
11513355,0,2,30000,31,2017-01-01,2018-12-31
11513355,0,3,90000,248,2017-01-01,2018-12-31
11513360,0,1,10205,248,2017-01-01,2018-12-31
11513360,0,2,30000,31,2017-01-01,2018-12-31
11513360,0,3,90000,248,2017-01-01,2018-12-31
11513365,0,1,10205,248,2017-01-01,2018-12-31
